idiom,num_contexts,fi_contexts,english_translations
aasinsi,5,"Tuoko oli luonteva aasinsilta? ||| Siinäpä aasinsilta muistoihin, eikö? ||| Mikä onkin loistava aasinsilta seuraavaan asiaani. ||| Hieno aasinsilta itsemurhaan. ||| Täällä ei ole muuta nerokasta kuin tuo keksimäni aasinsilta.","And that was actually your segue? ||| Now, there's a trip down memory lane. ||| Which brings me to our next order of business. ||| Nice speech, Mr. Hobson. Way to hit the suicide theme. ||| And if anyone's a genius, it's me for the way I brought that full circle."
asettua poikki#telo,5,"Yritäpä vielä asettua poikkiteloin. ||| Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä. ||| Enää en asetu poikkiteloin. ||| Jos aiotte asettua poikkiteloin, tiedätte missä ovi on. ||| En tiedä mitään. ― Tämä paikka suljetaan, jos asetutte poikkiteloin.","Just do me a favor, man... ||| If I even dreamed of defecting, Penelope would make my life hell. ||| William, I'm not going to get in your way no more. ||| If either of you has a problem with it, you know where the door is. ||| I swear, I don't know anything. You are very close to being closed down. Please don't obstruct us."
"auki,persaukinen",5,"Miten persaukisella olisi varaa 1 500 dollarin aseeseen? ||| Et halua mennä kotiin persaukisena, kun John lyö tämän lyönnin. ||| Meidät putsattiin persaukiseksi. ||| Mitä persaukinen Randy Newman ajattelee asiasta? ||| Ehkä se oli väärin, mutta olin persaukinen.","How's a guy that's so broke afford a $1500 handgun? ||| You don't want to go home broke once John makes this shot. ||| They cleaned us out. ||| What's broke-ass Randy Newman's take on it? ||| Maybe that was wrong, but I was broke, and that's what I did."
auko pää,5,"Äläkä yhtään ala aukoa päätäsi. ||| Mitä sä tuut tänne aukoon päätäs? ||| Kehtaatko aukoa päätäsi minulle? ||| Pitikin aukoa päätä. ||| Ette saa aukoa päätänne minulle vain siksi, että olette vanhoja.","Yes, we do have to and don't be so cheeky! Do you hear me, Davey? ||| Who the fuck do you think you are coming in here mouthing off at my mates? ||| Look at this guy, talking back to me. ||| It's all for talking shit to him. - I'll see you later. ||| You don't get a bitch pass just 'cause you're old."
ei nähdä metsä puu,5,"Et näe metsää puilta. ||| Jotkut eivät näe metsää puilta. Vai mitä, Vincent? ||| Et näe metsää puilta... Kun kyseessä on perheesi. ||| Joskus ei näe metsää puilta, vaikka metsä olisi takapihalla. ||| En nähnyt metsää puilta.","You get myopic, can't see the forest for the trees. ||| I guess some people just see what they wanna see, right, Vincent? ||| You can't see the forest through the trees, man -- not when it comes to family. ||| You can't see the forest for the trees... even when the forest is in your own backyard. ||| I...couldn't see the wood for the trees."
eilinen teeri poika,5,Minä en ole eilisen teeren poika. Mistä saitte aseen? ||| En ole mikään eilisen teeren poika. ||| Olenko muka eilisen teeren poika? ||| - Hän ei ole eilisen teeren poika. ||| Näytänkö eilisen teeren pojalta?,"You may have been born yesterday, but I wasn't.Where did you get the gun? ||| I was born, but I wasn't born yesterday, son. ||| What am I, born yesterday? ||| - He's no milksop. I said I'd take care of it. ||| What? Do I look like I was born yesterday?"
"heittää veivä,heittää",5,"Kuka tahansa normaali mies olisi heittänyt veivinsä - mutta ei vain meidän Mick. ||| En tahdo odottaa, kunnes joku heittää veivinsä. ||| Pari päivää sitten hän kolaroi moottoritiellä ja heitti veivinsä. ||| Kun vanha ystäväni Popov heitti veivinsä, panin salkun hyllylle. ||| Mummo heitti veivinsä.","I mean, any normal man would have just turned up his toes and died. But not our Mick. ||| I don't wanna wait till some guy croaks. ||| Couple days ago, he crashed into a semi on the freeway and died. ||| When my old friend Popov died, I put my briefcase on the shelf for good. ||| My grandma croaked."
"heittää,heittää lusikka nurkka",5,"- Heittää lusikka nurkkaan. ||| Sinun olisi pitänyt ottaa minut mukaan tähän isoon päätökseesi - tavasta, jolla isämme heittää lusikan nurkkaan. ||| Mbungon elättäjä heitti lusikan nurkkaan. Olemme rikkaita! ||| Koska saatan pian heittää lusikan nurkkaan... ||| Muut onki sitte heittäny lusikan nurkkaan.","- Bit the dust. ||| You should have included me in this huge decision you made about how our father's gonna leave this Earth. ||| Mbungo's sugar daddy just took a dirt nap, and we're rich! ||| Seeing as I may be rapping on the door momentarily, ||| All the others have kicked the bucket."
hevonen karata,5,Hevonen karkaa. ||| Ja että hevosesi karkaavat? ||| - Hevoset karkaa! ||| Hevosesi karkaavat. ||| - Hevoset karkaavat.,"Your zipper is open. ||| And that the barn door on your ski suit is open? ||| - Your flies, Charlie! - Mm? ||| Oops. ||| Your pajama thing is a little bit open."
hyppiä seinä,5,"Cordy hyppii seinille, kun saa kuulla tästä. ||| Kuulostaa siltä, että kiinnostaa, koska tuskin muuten hyppisit seinille. ||| Haluatko saada hänet hyppimään seinille? ||| Jos Gaby saa selville, hän hyppii seinille. ||| Hän hyppii seinille.","I mean, Cordy is gonna lose it when she finds out... ||| It kind of sounds like you care, Tibby. Otherwise you wouldn't be here freaking out. ||| What do you say? Should we drive him crazy? ||| You know, if Gaby finds out, she's gonna hit the ceiling. ||| She's bouncing off of the walls. Please. - Dawn."
