idiom,num_contexts,french_contexts,english_translations
ah le vache,5,"Salut. Ah la vache, ils sont costauds, ceux-là. ||| Ah la vache ! ||| Ah la vache, c'est le saumon. ||| Ah la vache! ||| Ah la vache !","Oh my God, who's winning so far? ||| Holy cow! ||| It's the salmon guy! ||| - Holy moly. ||| Holy cow!"
aller droit à le but,5,"Et maintenant, une jeune femme qui va droit au but, ma sœur, Roberta Tubbs. ||| Rebecca, je... je vais aller droit au but. ||| Insulte-les de hippies et va droit au but. ||| Eh bien, tu es allé droit au but avec celle-la. ||| Chéri, il vaut parfois mieux éviter d'aller droit au but.","And now, a young lady who goes to third base faster than Rickey Henderson my sister, Roberta Tubbs. ||| Becca, there is no easy way to say this... ||| Just call someone a hippie and get to the point. ||| Well, you walked right into that one. ||| Honey, sometimes it's not the most perfect timing To get straight to the point."
appeler un chat un chat,5,"Nous appellerons un chat un chat. ||| J'appelle un chat un chat... ||| Attendez, soyons... Appelons un chat un chat. ||| Je suis prêt à appeler un chat un chat, pour dissuader les générations d'aujourd'hui et de demain. ||| Appelons un chat un chat.","We're going to call a spade a dirty spade. ||| If it walks like a duck... ||| Well now, let's be, let's call a spade a spade. ||| There I am prepared to call a spade a spade, as a warning to present and future generations. ||| Let's call a spade a spade."
avoir de le pain sur le planche,5,"J'ai du pain sur la planche... ||| Tu as du pain sur la planche. ||| J'ai du pain sur la planche. ||| Tu as du pain sur la planche la. ||| Ecoute, je sais que tu as du pain sur la planche, mais mes parents ne peuvent pas te supporter et mon cousin est...","I've got a lot on my plate and um... ||| You have a job to do. ||| Lotta irons in the fire. ||| You got your hands full over there. ||| Look, I know you have a lot on your plate, but my parents can't stand you, and my cousin is..."
avoir deux main gauche,5,"Je le ferais bien moi-même, mais j'ai deux mains gauches. ||| Sally, tu as deux mains gauches ce soir. ||| Parfois, j'ai deux mains gauches. ||| Tu as deux mains gauches ! ||| Je dois avoir deux mains gauches.","I would do it myself, but I am all thumbs. Yeah, I'm sorry about that. ||| Oh, Sally, you are fingers and thumbs tonight. ||| Sometimes I'm just all thumbs. ||| You got hands like bricks! ||| I think I have two left hands."
avoir le banane,5,j'aurai la banane. ||| La centrifugeuse d'isotopes a la banane. ||| Les gens doivent avoir la banane en te voyant. ||| J'ai la banane quand je suis avec elle. ||| Ils vont avoir la banane.,"I'll go bananas. ||| The isotope centrifuge went bananas. ||| People have to be happy that you've arrived. ||| I can't help but smile when I'm around her. ||| Yeah, they'll go bananas for that one."
avoir le cafard,5,"""J'ai le cafard à cause de toi. ||| J'avais le cafard et j'ai dit quelque chose dans ma langue. ||| - Anita a le cafard. - Pas de problème. ||| - Toi aussi, tu as le cafard? ||| Tu as le cafard ? Je déteste les dimanches ici.","""I've got the blues for you. ||| I was lonely. I wanted to say something in my own language. ||| Anita doesn't want to. ||| - We call it the blues. ||| This place gives me the creeps on Sunday."
avoir le chair de poule,5,"Chaque fois que je pense au jour où on s'est rencontré, j'ai la chair de poule. ||| J'ai la chair de poule, Andie. ||| J'ai eu la chair de poule toute la nuit. ||| J'en ai la chair de poule. ||| Regarde, j'en ai la chair de poule.","Every time I think about the day we met, I just get goosebumps all over again. ||| - This is really creepy, Andie. ||| So sick. ||| - Gives me the creeps, to be honest. - Yeah. ||| Look, I got freakin' goose bumps."
avoir le cœur sur le main,5,"Avait le coeur sur la main. ||| Elle a le coeur sur la main. ||| Mitsuko et Joe ont le cœur sur la main. ||| C'est bon, tu peux avoir le coeur sur la main ||| Vous savez, les Punjabis ont le coeur sur la main.","Wore his heart on his sleeve. ||| She's got a big heart. ||| Mitsuko and Joe are open-handed. ||| It's okay, you can wear your heart on your sleeve ||| You know we Punjabis are really large-hearted."
avoir le dalle,5,"Super, j'ai la dalle. ||| Je fume pour ça. J'ai la dalle. ||| Par contre, j'ai la dalle. ||| J'ai la dalle. ||| Allez, j'ai la dalle.","- Oh, good, 'cause I'm starving. ||| That's why I wanna smoke, I'm starving. ||| I am starving though. ||| I sure am hungry. ||| Come on, I'm starving."
avoir le flemme,5,Ses parents avaient la flemme de l'appeler Bob ? ||| Je ne sais pas si sortir ou pas. J'ai la flemme... ||| J'ai la flemme de lire des sous-titres. ||| Ses parents avaient la flemme de l'appeler Bob ? ||| J'ai eu la flemme.,"What, his parents were too lazy to come up with, like, Bob? ||| I don't know if I want to go or if I'm too tired but... ||| Actually, no. I'm not down for subtitles tonight. ||| What, his parents were too lazy to come up with, like, Bob? ||| I got lazy, man, you know."
