idiom,num_contexts,jp_contexts,english_translations
力 を 付ける,5,もっと力を付けた ||| 着々と力を付け... ||| アンナはフィフス カラムが 力を付けて来たと考えている ||| アンナはフィフス カラムが 力を付けて来たと考えている ||| もっと力を付けた,The more firepower I got. ||| Wormed his way up the ranks. ||| Anna knows that the Fifth Column's growing stronger. ||| Anna knows that the Fifth Column's growing stronger. ||| The more firepower I got.
上 に 立つ,4,長官たちが 党大会の壇上に立って― 犯人逮捕を アピールするんだぞ ||| 一歩進むごとに戦ったわ。 必死に働き、腕を磨き、上に立った。 誰にも迷惑かけずにね。 ||| 上に立つため 下で働く事もある ||| 人の上に立つのに必要です,"The entire top tier of the Bureau's in town to stand onstage and show the world that we prevailed. ||| Every step of the way, I had to fight, to work hard, to get better, to come out ahead. ||| Sometimes you have to serve in order to lead. ||| That can be a virtue when it drives us to excel."
目 を 奪う,4,すぐに、君の目を奪う 盲目の女が地下で 生存することは出来ない ||| ドローンに役目を 奪われたかな？ ||| あの娘に目を奪われているのでしょ？ ||| ドムが神の目を奪ったから レーダーから逃れるためだ,"We take your eyes now... and see how long a blind girl can survive in the basement. ||| Drones taking all the cool assignments? ||| You adore this girl, don't you? ||| Because Dom took God's Eye, so we need to stay off the grid"
目 を 疑う,4,びっくり仰天 わが目を疑う出し物 ||| - いや、もう自分の目を疑ったよね。 ||| 目を疑いたくなるような 不可解なものを ||| わが目を疑うんだが 証拠を...,"...is presenting to you something you will absolutely refuse to believe! ||| I was like, pinching myself while I was hooking up with her. -No! ||| I mean, hell, half the stuff, we wouldn't have believed it ourselves had we not seen it together. ||| I don't believe this. Beatrix, I suppressed evidence."
頭 が 痛い,4,"頭が痛くなりそうだよ ||| ""私が頭が痛くても"" ""痛い顔したり"" ""声 出したり"" ||| オーディションに落ちたのは 幸いなんだよ パーティーでの演奏なんて 頭が痛いぞ ||| 最悪の状況で頭が痛いです","See, I'm going to get stuck now with that song. ||| Even if my head hurts, no one knows until I cry. ||| Believe me, Marty, you're better off without having to worry about all the aggravation and headaches of playing at that dance. ||| I'm getting a bad feeling about where this is headed."
首 に する,4,首にした相手をけなすために ||| 継母は使用人を全て 首にしました ||| 優しいな　どうでもいいが 誰かに首にされたとして ||| −君は私を首にする。,"To vilify the boss that fired her. ||| Ella's stepmother dismissed the household. ||| That's very kind to say. Unless it stopped being a job because someone fired you, in which case... ||| - You are firing me."
馬 の 骨,4,何所の馬の骨だ　何の話だ？ ||| どこの馬の骨だ バーニー？ ||| 何所の馬の骨だ　何の話だ？ ||| お前は馬の骨だった,"I don't fucking know you. What business? ||| Who is this bimbo, Barney? ||| I don't fucking know you. What business? ||| I didn't know you at all."
あっ と いう 間,3,あっという間 ||| 覚えてる　あっという間の出来事 ||| 先生ならあっという間よ,Nothing. ||| As I recall it ended much too soon You look marvelous. ||| Doctor Mixter have you stitched up in no time.
あっ と 言う 間,3,この新しいパートナーシップの早い成功を 互いに喜んでいます あっと言う間の２年、ヤムラに 最初のＧＰ勝利をもたらしました ||| あっと言う間だ ||| 炎よ あっと言う間に 骨まで燃え尽きる,Both delighted with the quick success of this new partnership which has brought Yamura his first Grand Prix victory after two years of flying. ||| In a heartbeat ||| He'll melt the flesh off your bones in the blink of an eye.
いい 気味,3,勝手なまねをした罰だ いい気味だ ||| - 全くいい気味だな メリー ||| いい気味だね,"Enough! They've had their fun! ||| -Not too happy at all, Merry. ||| Crying like a sucky baby."
