english_idiom,english_context,french_idiom,french_context,french_english_translation,similarity
have a cow,"Do n't have a cow , man !","avoir le chair de poule,ah le vache","Ah la vache, j'en ai la chair de poule.",Oh my God I got goose bumps.,0.7605760097503662
two heads are better than one,Two heads are better than one . ',un sien valoir mieux que deux il le avoir,Un tien vaut mieux que deux tu l'auras.,"Well, no time like the present.",0.719314694404602
have a cow,"Do n't have a cow , man !",ah le vache,"Salut. Ah la vache, ils sont costauds, ceux-là.","Oh my God, who's winning so far?",0.7105282545089722
do someone's head in,"Do n't think , I ca n't remember , you 're doing my head in tramp , fuck off !",faire le tête,Combien de temps vas-tu encore me faire la tête ?,"All right, how long are you gonna stay mad at me?",0.7088173031806946
go bananas,I went bananas .,avoir le banane,j'aurai la banane.,I'll go bananas.,0.7074964046478271
over your head,"Talk over your head Joanne , you usually do !","prendre le tête,être en train de",Tu es en train de te prendre la tête.,You're psyching yourself out.,0.6978330612182617
chuck it down,‘ Why do n't yer chuck it down in the dustbin?’ he suggested .,jeter le éponge,On devrait jeter l'éponge. Quoi ?,I think we should give up.,0.6961154937744141
say cheese,"there more or less , say ‘ cheese’ in their mitres , copes and",en faire tout un fromage,Pourquoi t'en fais tout un fromage ?,Why are you making such a big fuss over it?,0.6956672668457031
go west,"With the general collapse of time , and the mad rush to Get Things Done , practices like loitering in nice little delicatessens and antique shops and little designer clothing establishments and framed print emporia , have gone west .",être à le ouest,T'es à l'ouest.,You're way off track.,0.6933606863021851
drink like a fish,"‘ Oh , lovely!’ said her hostess who showed every indication of drinking like a fish , grabbing the wine .",boire comme un trou,Elle a commencé à boire comme un trou.,She started a drinking binge.,0.6878684759140015
keep your eyes peeled,"If you are interested , keep your eyes peeled for nomination lists to that effect .","tenir à le courant,jeter un coup de oeil",On jette un coup d'oeil et on te tient au courant.,We'll take a look and get back to you.,0.6807448863983154
have kittens,I was having kittens .,avoir un chat dans le gorge,J'ai dû avoir un chat dans la gorge.,Must've been a frog in my throat.,0.6768313050270081
watch your back,"Standing behind — or Watch your backs Agree on a signal to indicate "" Freeze "" .","tenir à le courant,jeter un coup de oeil",On jette un coup d'oeil et on te tient au courant.,We'll take a look and get back to you.,0.6702383756637573
wake up and smell the coffee,"Wake up and smell the coffee , guys .","être en train de,boire un coup",- On devrait être en train de boire un coup.,"- Yeah, we should be at the bar by now.",0.6683833599090576
meet your maker,"The one down his front said , "" ARE you READY TO MEET YOUR MAKER ? ? """,un coup de main,- Besoin d'un coup de main ?,Need a hand? Nah.,0.6668606996536255
have a tiger by the tail,"‘ And if you push me down again,’ she warned quietly , ‘ you might very well find that you have a tiger by the tail .",faire gaffe,"Fais gaffe Lindsey, surveille-les bien.","Watch them, Lindsey. Keep an eye on 'em.",0.6608141660690308
one of those things,But Gosney admitted : ‘ It was a 50 - 50 ball and one of those things that happens .,être le dindon de le farce,"Non, mais on sera les dindons de la farce.","No, but we're farting on our own candle.",0.6603865623474121
kill the fatted calf,Kill the fatted calf ! ',"avoir le chair de poule,ah le vache","Ah la vache, j'en ai la chair de poule.",Oh my God I got goose bumps.,0.6592444181442261
have a bun in the oven,"Cause when you 've a bun in the oven ,",avoir de le pain sur le planche,J'ai du pain sur la planche...,I've got a lot on my plate and um...,0.6540424823760986
in one ear and out the other,‘ He listens to me about as much as he listened to his mother — in one ear and out the other.’,faire le sourd oreille,Je croyais pouvoir continuer à faire la sourde oreille.,I guess I thought I could just go on not caring.,0.6532901525497437
shake a leg,"Come on , shake a leg , old son.’","être en train de,boire un coup",- On devrait être en train de boire un coup.,"- Yeah, we should be at the bar by now.",0.6508899927139282
have a tiger by the tail,"‘ And if you push me down again,’ she warned quietly , ‘ you might very well find that you have a tiger by the tail .",poser un lapin,Elle ne va plus jamais me reparler si je lui pose un lapin.,She's never gonna talk to me again after standing her up.,0.6506587266921997
do someone's head in,"Do n't think , I ca n't remember , you 're doing my head in tramp , fuck off !",tout cracher,"Tout craché, oui.",Basically.,0.6503845453262329
hit the sack,"I suppose it came into my room for a few minutes to see a book I 'd been telling him about , then he left and I hit the sack .",être en train de,"Il est en train de le faire, il défonce la porte.","He's doing it, he's breaking down the door.",0.6494718790054321
have kittens,I was having kittens .,donner son langue à le chat,Il a donné sa langue au chat.,Seems the cat got Watts's tongue.,0.6494043469429016
a little bird told me,A little bird tells me that Scottish & Newcastle 's private jet has been spotted in the neighbourhood of Pilsen .,"petit à petit , le oiseau faire son nid","A l'aise :""Petit à petit, l'oiseau fait son nid""!","""The early bird catches the worm."" ""A stitch in time saves nine.""",0.6479581594467163
drunk as a lord,Then turned up one morning drunk as a lord .,boire comme un trou,Elle a commencé à boire comme un trou.,She started a drinking binge.,0.6477283239364624
do someone's head in,"Do n't think , I ca n't remember , you 're doing my head in tramp , fuck off !","prendre le tête,être en train de",Tu es en train de te prendre la tête.,You're psyching yourself out.,0.6477116346359253
show someone the door,They more or less show you the door .,être en train de,"Il est en train de le faire, il défonce la porte.","He's doing it, he's breaking down the door.",0.6466422080993652
get someone's goat,It 's no porridge at breakfast that gets my goat .,"avoir le chair de poule,ah le vache","Ah la vache, j'en ai la chair de poule.",Oh my God I got goose bumps.,0.6456546783447266
get your hands dirty,"Armed with the Steamatic , there 's no need to get your hands dirty and the job is done in half the time .",en avoir ras-le-bol,J'en ai ras-le-bol. Pas vous ?,I'm sick and tired of this.,0.6450582146644592
blow your top,"If you blow your top , they 'll nick you double quick.’",tout cracher,"Tout craché, oui.",Basically.,0.6447914838790894
bite someone's head off,The silly idiot is going to shout some sort of stupid abuse at her and she 'll bite his head off !,tout cracher,"Tout craché, oui.",Basically.,0.6447080373764038
rest on your laurels,"And if I were you , I would n't bother resting on your very dusty laurels . '",en avoir rien à cirer,Et je n'en ai rien à cirer.,And I don't give a damn.,0.6441630125045776
bugger all,This is the first time I think we 've sat down and done bugger all for ages !,"en avoir marre,en avoir rien à foutrer","Putain, j'en ai rien à foutre! J'en ai marre!","Fuck, I don't want to know, I've had enough!",0.6431872248649597
come out of your shell,But now you should come out of your shell .,"être crever,être en train de",Tu es crevé. Tu es en train de guérir.,"Uh, like...you're tired.",0.6426591277122498
have kittens,I was having kittens .,avoir un autre chat à fouetter,Et je n'ai pas eu l'occasion de t'en parler parce qu'on avait d'autres chats à fouetter.,And I didn't get a chance to tell you because we had bigger fish to fry.,0.6392259001731873
bum steer,And all he gets are these one - liner and bum steers and cheerful shrugs that may or may not be disingenuous .,"avoir le chair de poule,ah le vache","Ah la vache, j'en ai la chair de poule.",Oh my God I got goose bumps.,0.6384380459785461
shut the door on,"It is you , having shut the door on your fears which have hitherto ruled your life , who can open a new door .",enfoncer un porte ouvrir,"Eh bien, au risque d'enfoncer une porte ouverte, c'est fini.","Well, at the risk of stating the obvious, it's over.",0.6379317045211792
blow your top,"If you blow your top , they 'll nick you double quick.’",sentir le sapin,"Ça sent le sapin, mec.","That sucks, dude.",0.6366899013519287
keep your nose to the grindstone,"‘ I intend to keep your nose to the grindstone , Rob .","tenir à le courant,jeter un coup de oeil",On jette un coup d'oeil et on te tient au courant.,We'll take a look and get back to you.,0.6365984678268433
go to your head,"Guitarist Simon Bartholomew from the soul - funk group , in the Top 30 with Do n't Let It Go To Your Head , says : ' We told the promoter no way could we perform .","prendre le tête,être en train de",Tu es en train de te prendre la tête.,You're psyching yourself out.,0.6362192630767822
bugger all,This is the first time I think we 've sat down and done bugger all for ages !,"en avoir marre,être en train de",Nous sommes en train d'en avoir marre l'un de l'autre.,We're slowly getting sick of each other.,0.6349931955337524
get up someone's nose,That part of opponent 's century which gets up your nose ( 5 ),avoir le cafard,"""J'ai le cafard à cause de toi.","""I've got the blues for you.",0.6349079608917236
sure as eggs is eggs,"' Sure as eggs is eggs , ' she answered in her unashamedly yokel voice .",aller se faire cuire un œuf,"Mais je suis d'accord avec l'idée de Gina ""D'aller se faire cuire un œuf.""","But I'm going with Gina's ""suck an egg"" idea.",0.6332912445068359
deaf as a post,"Well , she used to sort of keep shop for him , she was deaf as a post !",faire le sourd oreille,Je croyais pouvoir continuer à faire la sourde oreille.,I guess I thought I could just go on not caring.,0.6325657367706299
twist someone's arm,"She will twist your poor rich senile arm to pay you out , because you have an airy house on the hill , and she goes home to a room in the damp and humid valley .",jeter le éponge,On devrait jeter l'éponge. Quoi ?,I think we should give up.,0.6293284893035889
put the cat among the pigeons,"Remember that first Christmas when she put the cat among the pigeons by saying to me your husband told me that he ca n't really afford he 's flying because you spend all his money , when I , when I 've been backing him , saving money for his aeroplane and his lessons and",donner son langue à le chat,Il a donné sa langue au chat.,Seems the cat got Watts's tongue.,0.6291951537132263
put the wind up,"It put the wind up me , to tell you the truth , so I 've just brought Hawkbit along and left it at that . ""","il faire un froid de canard,un froid de canard","Sapristi, il fait un froid de canard.","Oh, Jiminy. It sure turned cold.",0.6280150413513184
bite off more than you can chew,There 's always the danger of biting off more than you can chew .,manger sur le pouce,Je n'aime pas te voir manger sur le pouce.,"When I see you eat like that, I...",0.6264907121658325
kill the fatted calf,Kill the fatted calf ! ',ah le vache,"Salut. Ah la vache, ils sont costauds, ceux-là.","Oh my God, who's winning so far?",0.6258801221847534
get someone's goat,It 's no porridge at breakfast that gets my goat .,ah le vache,"Salut. Ah la vache, ils sont costauds, ceux-là.","Oh my God, who's winning so far?",0.6248506307601929
turn a trick,Do you think I want to see my kids turning tricks for a smear of white powder ? ',faire le andouille,J'aimerais qu'ils arrêtent de faire les andouilles.,[groans] I wish these kids would stop acting up.,0.6244381666183472
go up in smoke,The result was all wrong … 6 - 2 on aggregate to Tranmere but there was a flicker of hope in the flames as United 's cup run went up in smoke …,"partir en fumée,être en train de",C'était en train de partir en fumée.,McGEE: It was running on fumes.,0.624414324760437
jump down someone's throat,"I was about to say , before you jumped down my throat , if your plans need altering in any way.’",se jeter dans le gueule de le loup,Va-t-on se jeter dans la gueule du loup ?,We'll be walking into a trap!,0.6230546832084656
not on your life,' Not on your life .,en avoir rien à cirer,Et je n'en ai rien à cirer.,And I don't give a damn.,0.6227329969406128
keep your pecker up,‘ Try and keep your peckers up!’,"petit à petit , le oiseau faire son nid","A l'aise :""Petit à petit, l'oiseau fait son nid""!","""The early bird catches the worm."" ""A stitch in time saves nine.""",0.6222193241119385
leave someone in the lurch,"If the queen cat was satisfied from her seven matings with one tom , she would leave the other males in the lurch and make for home .",donner son langue à le chat,Il a donné sa langue au chat.,Seems the cat got Watts's tongue.,0.6221195459365845
rattle someone's cage,"And by the way , if we only give you fifty percent we 'll allow you to rattle our cage , which is a bit of a cheek really , but we 'll allow it .","ça marcher,un coup de main",Ça marcherait peut-être mieux si tu donnais un coup de main.,It would be easier if you helped me.,0.6218761205673218
let's be having you,"‘ Right , let 's be having you then,’ he said , and proceeded to lead his recruits — carryying everything from battered suitcases to brown paper parcels — through the streets of Edinburgh at the double , only to be sure that the locals did n't realise just how undisciplined this rabble really was .",filer à le anglais,"22 personnes qui filent à l'anglaise, tu t'imagines ?","You don't want 22 people skipping all in one day, do you? - Of course not, but...",0.6217788457870483
hold your tongue,"' Hold your tongue , woman !",ne pas avoir son langue dans son poche,Je suis censé les détester. Ne pas avoir ma langue dans ma poche.,I'm supposed to despise girls... not feel nervous talking to one.,0.6216157674789429
hold your tongue,"' Hold your tongue , woman !",être rouge comme un écrevisse,Viens pas pleurer quand tu seras rouge comme une écrevisse.,Don't come crying to me when you're as red as a tomato.,0.6213197708129883
like the clappers,"Well , you know , if , if they come like the bloody clappers there !",faire gaffe,"Fais gaffe Lindsey, surveille-les bien.","Watch them, Lindsey. Keep an eye on 'em.",0.6211032867431641
wake up and smell the coffee,"Wake up and smell the coffee , guys .",sentir le sapin,"Ça sent le sapin, mec.","That sucks, dude.",0.6208979487419128
right up your street,"‘ This will be right up your street,’ said Tabitha .",aller droit à le but,"Et maintenant, une jeune femme qui va droit au but, ma sœur, Roberta Tubbs.","And now, a young lady who goes to third base faster than Rickey Henderson my sister, Roberta Tubbs.",0.6207528114318848
for the hell of it,Slanging matches with Craddock just for the hell of it .,être le dindon de le farce,"Non, mais on sera les dindons de la farce.","No, but we're farting on our own candle.",0.6198043823242188
hit the ceiling,"Why should you go clucking around them like a mother hen , just because they both hit the ceiling?’",faire gaffe,"Fais gaffe Lindsey, surveille-les bien.","Watch them, Lindsey. Keep an eye on 'em.",0.6195580959320068
go with the flow,"Enjoy the ride down , let the wind fly through your hair , go with the flow , and wait for the big crash .",se noyer dans un verre de eau,"Parce que c'est pas ton idée, et Matt se noie dans un verre d'eau, donc ça doit être celle de Caroline.","Because it's not your idea, and Matt can't think his way out of a paper bag, so it must be Caroline's.",0.6192495822906494
