english_idiom,english_context,fi_idiom,fi_context,english_translation,similarity
get up someone's nose,That part of opponent 's century which gets up your nose ( 5 ),vetää herne nenä,Jotkut vetävät herneen nenään.,"Some people get pissed off, saying we're taking over.",0.6919571161270142
blow your top,"If you blow your top , they 'll nick you double quick.’",puuro ja velli sekaisin,Teillä menee puurot ja vellit sekaisin!,Then why are you comparing apples and oranges?,0.6867610216140747
as the crow flies,"‘ He was last year about now but Easter 's late , I had n't thought on , and he 'll not move down until Palm Sunday like as not , and if he 's still over on the mountain he 'll be up Three Valleys Pass and that 's an hour and a half of a walk for him , going as the crow flies , but longer for us in the jeep because there 's no direct road — and then to get at him we 'd have to take a cart track that 'll be more like a river bed after yesterday 's rain .",kukkona tunkio,- Kukkona tunkiolla?,"ARE THE BLOODY COCKS STILL RUNNING THE COOP? AH, TO BE SURE.",0.6855498552322388
get up someone's nose,That part of opponent 's century which gets up your nose ( 5 ),oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6820321083068848
blow your top,"If you blow your top , they 'll nick you double quick.’",pata kattila soida,- Pata kattilaa soimaan!,Double standards!,0.6667910814285278
keep your pecker up,‘ Try and keep your peckers up!’,kana kynittää,"Jos selviän, minulla on kana kynittävänä kanssasi.","If I do make it, you and I have unfinished business. Yeah, I know.",0.6651320457458496
make your blood boil,honest to god it makes your blood boil,puuro ja velli sekaisin,Teillä menee puurot ja vellit sekaisin!,Then why are you comparing apples and oranges?,0.6645556688308716
do someone's head in,"Do n't think , I ca n't remember , you 're doing my head in tramp , fuck off !",auko pää,Äläkä yhtään ala aukoa päätäsi.,"Yes, we do have to and don't be so cheeky! Do you hear me, Davey?",0.663719654083252
chuck it down,‘ Why do n't yer chuck it down in the dustbin?’ he suggested .,oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6617108583450317
tan someone's hide,I tan your hide.’,oikaista koipi,- Hän oikaisi koipensa.,Gave him a break.,0.6598083972930908
off the top of your head,"‘ You 're saying that off the top of your head , Mr Glover .",auko pää,Äläkä yhtään ala aukoa päätäsi.,"Yes, we do have to and don't be so cheeky! Do you hear me, Davey?",0.6594842672348022
jump down someone's throat,"I was about to say , before you jumped down my throat , if your plans need altering in any way.’",vetää turpa,- Vetämään turpaan?,Then shut your mouth.,0.6590937972068787
get up someone's nose,That part of opponent 's century which gets up your nose ( 5 ),kuin viili#pytty,Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,But you're so smooth I figured you were hiding something too.,0.658474326133728
