english_idiom,english_context,jp_idiom,jp_context,english_translation,similarity
live a lie,‘ I had to live a lie !,嘘 で 固める,嘘で固めるなら もっと上手くやることだ,"You know, for somebody who lies all the time, I'd think you'd be better at it.",0.7957842946052551
do someone's head in,"Do n't think , I ca n't remember , you 're doing my head in tramp , fuck off !",尻 を 叩く,あなたの尻を叩くため？,Give you a swift kick in the butt if you need it?,0.794342041015625
in one ear and out the other,‘ He listens to me about as much as he listened to his mother — in one ear and out the other.’,耳 を 貸す,- 耳を貸さないのです,- doesn't always listen.,0.7821955680847168
do someone's head in,"Do n't think , I ca n't remember , you 're doing my head in tramp , fuck off !",頭 に 来る,ベニーの帽子を壊して 頭に来て攻撃しようとしてたら 彼が粉々になっちゃって 僕のせいじゃないけど 追われる事になって・・・,"I was so livid that I attacked Tybalt and he ended up getting smashed, which wasn't my fault, and I was chased out.",0.781690239906311
in one ear and out the other,‘ He listens to me about as much as he listened to his mother — in one ear and out the other.’,"小耳 に 挟む,耳 に 挟む",小耳に挟んだだけ,"Oh,I shouldn't have been listening.",0.7728501558303833
put your heads together,He will be less easy to understand if you literally put your heads together .,頭 が 固い,彼はただ、ええと、頭が固い。,"He's just, uh, not enlightened.",0.7573819756507874
do someone's head in,"Do n't think , I ca n't remember , you 're doing my head in tramp , fuck off !",頭 を 丸める,ただ頭を丸めただけだろ?,"The hell did you shave your head for, fool!",0.7546272277832031
make your blood boil,honest to god it makes your blood boil,血 が 引く,- 血が引く思いだ,"Oh, I think I'm bleeding somewhere.",0.7524497509002686
easier said than done,But such things were easier said than done .,言う は 易い 行う は 難しい,言うは易く行うは難しだ,Easier said than done.,0.7515584826469421
bite someone's head off,The silly idiot is going to shout some sort of stupid abuse at her and she 'll bite his head off !,頭 に 来る,ベニーの帽子を壊して 頭に来て攻撃しようとしてたら 彼が粉々になっちゃって 僕のせいじゃないけど 追われる事になって・・・,"I was so livid that I attacked Tybalt and he ended up getting smashed, which wasn't my fault, and I was chased out.",0.7394741773605347
blow your top,"If you blow your top , they 'll nick you double quick.’",当たる て 砕けろ,"""当たって砕けろ"" よ","Well, it can't hurt to ask.",0.734990656375885
put your heads together,He will be less easy to understand if you literally put your heads together .,"頭 が 固い,固い なる",いかれて頭が固くなってるあの男を！ ？,A man whose idea of a romantic nightspot and an impenetrable fortress are the same thing.,0.732639729976654
stick your neck out,You do n't have to stick your neck out in meetings .,声 を 立てる,声を立てるなよ,- Hush.,0.7250741124153137
blow your top,"If you blow your top , they 'll nick you double quick.’",大 目玉 を 食らう,大目玉を食らうよ あのドロイドは困ったやつだ,That little droid's going to cause me a lotta trouble.,0.7165151834487915
in one ear and out the other,‘ He listens to me about as much as he listened to his mother — in one ear and out the other.’,耳 が 遠い,今じゃすっかり 耳が遠くなってね カーソン宅って聞こえたが,"Now, my ears aren't what they used to be, but I swear I could have heard you say something about the Carson place.",0.7163635492324829
up to the hilt,But he 's done it he 's sold his he 's mortgaged his house up to the hilt and everything .,最期 を 遂げる,スタニス・バラシオンは 良い最期を遂げなかったな？,"It didn't end well for Stannis Baratheon, did it?",0.7150396704673767
wear your heart on your sleeve,None of your old wearing your - heart - on - your - sleeve junk for me .,胸 が 高鳴る,どれ程胸が高鳴ってるか あなたが持って来たもの関して,I can't tell you how excited I am about what you've brought to us.,0.713430643081665
easier said than done,But such things were easier said than done .,事 が 運ぶ,簡単に事が運ぶとは言ってない,I never told you it was gonna be easy.,0.7097024917602539
put words in someone's mouth,‘ Then do n't put words in my mouth.’,嘘 で 固める,嘘で固めるなら もっと上手くやることだ,"You know, for somebody who lies all the time, I'd think you'd be better at it.",0.7094267010688782
in one ear and out the other,‘ He listens to me about as much as he listened to his mother — in one ear and out the other.’,"耳 に する,ちょっと する た","そういうことなら, 私がふと耳にしたとても面白いちょっとしたゴシップを あなたに伝えることができなくなりますね。",Then I couldn't tell you the juicy bit of gossip I overheard.,0.7088513374328613
"more haste, less speed","More haste , less speed .",急う て は 事 を 仕損じる,急いては事を仕損じる,Haste makes waste.,0.7086210250854492
put your heads together,He will be less easy to understand if you literally put your heads together .,耳 に 挟む,"ストイック 今　小耳に挟んだ 一部の連中が ""策は　あるのか?""と","Listen, Stoick, I was overhearing some of the men and, well, some of them are wondering what it is we're up to here.",0.708206057548523
no peace for the wicked,There is no peace for the wicked .,情け 容赦 も ない,情け容赦もなく な,Her life is not yours to take.,0.7077254056930542
hold your tongue,"' Hold your tongue , woman !",軽口 を 叩く,おい 軽口を叩くな,"Hey, Earl, have some fucking respect, okay?",0.7069549560546875
dead to the world,"you must of been dead to the world , what with working",気 が 紛れる,気が紛れてる。,I'm distracted.,0.7065997123718262
in one ear and out the other,‘ He listens to me about as much as he listened to his mother — in one ear and out the other.’,耳 を 澄つ ます,耳を澄ますんだ,I keep my ears open.,0.705725908279419
in one ear and out the other,‘ He listens to me about as much as he listened to his mother — in one ear and out the other.’,耳 を 塞ぐ,私が君だったら 耳を塞ぐだろうな。,I think I'd cover my ears if I were you.,0.7055913805961609
jump down someone's throat,"I was about to say , before you jumped down my throat , if your plans need altering in any way.’",落とす 前 を つける,落とし前をつけるつもりか?,Were you planning to clean up the place?,0.7043365240097046
one of those things,But Gosney admitted : ‘ It was a 50 - 50 ball and one of those things that happens .,程 が ある,コウノトリが巻きついてるなんて クソにも程がある,I hate that fucking thing too. A stork wrapped around a tree branch. That's the stupidest thing I've ever seen.,0.7008711099624634
bury your head in the sand,"and fellow members that will be down in Whitehall and eventually will put you to bed , if you bury your head in the sand and at the end of the day I 'm afraid the country is going to knock it off .",恩 を 仇 で 返す,恩を仇で返すのか？ 報道生命を賭けるのか！ イギリスが終わるんだぞ！,You know how much help you're getting hereon in?,0.6989405155181885
put your heads together,He will be less easy to understand if you literally put your heads together .,矢面 に 立つ,お前は矢面に立ってる... しかし　そうすべきではない,Putting yourself in the firing line is no way of dealing with it.,0.6987394690513611
see the light,"Some people are seeing the light , even from your own side .",目 の 前 が 真っ 暗 に なる,目の前が真っ暗になったとき,"And just as everything was going dark,",0.698062539100647
do someone's head in,"Do n't think , I ca n't remember , you 're doing my head in tramp , fuck off !",おべっ か を 使う,あいつ等のおべっかで 満足しました？ Kiss your(my) ass おべっかを使う、誰々のゴマをする,Did they kiss your ass to your satisfaction?,0.6979944109916687
over your head,"Talk over your head Joanne , you usually do !",頭 を 振る,頭を振って？,Just nod your head? Baby?,0.6974882483482361
in one ear and out the other,‘ He listens to me about as much as he listened to his mother — in one ear and out the other.’,耳 に 挟む,"ストイック 今　小耳に挟んだ 一部の連中が ""策は　あるのか?""と","Listen, Stoick, I was overhearing some of the men and, well, some of them are wondering what it is we're up to here.",0.6967755556106567
hold your tongue,"' Hold your tongue , woman !",声 を 立てる,声を立てるなよ,- Hush.,0.6966180801391602
bite someone's head off,The silly idiot is going to shout some sort of stupid abuse at her and she 'll bite his head off !,頭 を 丸める,ただ頭を丸めただけだろ?,"The hell did you shave your head for, fool!",0.6963285207748413
stick your neck out,You do n't have to stick your neck out in meetings .,聞き捨て なる ない,聞き捨てならないことを,I was distracted by the sound of good police work.,0.696060299873352
twist someone's arm,"She will twist your poor rich senile arm to pay you out , because you have an airy house on the hill , and she goes home to a room in the damp and humid valley .","気 を 使う,手 を 煩う せる",キミは僕の手を煩わせないように気を使うだろ？,"Just try and do your best To keep your hands off me, yeah?",0.6956366300582886
blood is thicker than water,Mr Koo claimed that the people of China and Taiwan have a ‘ blood - is - thicker - than - water kind of sentiment’ .,血 は 水 より も 濃い,正確に言うと 血は水よりも濃くないだろ？,"Hasn't exactly been thicker than water, has it?",0.6949049234390259
blow your top,"If you blow your top , they 'll nick you double quick.’",軽口 を 叩く,おい 軽口を叩くな,"Hey, Earl, have some fucking respect, okay?",0.6946309804916382
keep your nose to the grindstone,"‘ I intend to keep your nose to the grindstone , Rob .",肝に 銘じる,肝に銘じるんだ,Careful.,0.6932826042175293
hard as nails,Hard as nails ?,気 に 入る,格好いいと思います 気に入りました,I think it's bad-ass. I like it.,0.6929259300231934
bedroom eyes,‘ You know — sort of bedroom eyes.’,目 が 回る,あぁ 目が回ってるさ,"- Yeah, we do. We sure do.",0.6926506161689758
too big for your boots,You 're gettin ' too big for your boots.’,足 が 付く,リードのお嬢様は堅苦しくて冗談が通じない 地に足が付いてるのかしら,"Lady Reed here's got a stick so far up her ass, it's a wonder her feet touch the ground.",0.6925201416015625
play hard to get,Playing hard to get,押す が 強い,押しが強くなくて 謙虚な男,"First of all, he's too humble to know he's perfect.",0.6921132802963257
call it quits,Give us them two back and we 'll call it quits .,終止 符 を 打 つ,そうするくらいなら お前は終止符を打つ,"If you did, you'd put a stop to all this.",0.6918714046478271
knock it off,told him if he did n't wake up and be a bit more happy I was going to knock it off .,"固い なる,気 が 済む",もう彼のガードは　固くなるだろう 何回言わせりゃ気が済む？,How many times I got to say it?,0.6915766000747681
get your feet wet,They think you ca n't learn anything about the oceans if you do n't get your feet wet.’,腰 を 抜かす,腰を抜かすわ,You'd run from here in terror.,0.6905167102813721
dressed to the nines,"' Well , you 're all dressed up to the nines ! '",気 を 悪い する,謝りに来た 君の気を悪くしたから... 仲直りしよう,To apologize for anything I said that hurt your feelings and sort things out between you and me.,0.689945638179779
gone with the wind,Gone with the Wind,"風前 の 灯,風前 の 灯火",士気はもはや 風前の灯火だ,Their courage hangs by a thread.,0.689172625541687
stick your neck out,You do n't have to stick your neck out in meetings .,首 を 振る,首を振るな,Don't shake your head at me.,0.689115047454834
blow your top,"If you blow your top , they 'll nick you double quick.’",一口 乗る,どう　一口乗らない？,"So, what do you say?",0.6890444755554199
speak of the devil,Speak of the devil,魔 が 差す,魔が差したの,And this was such a rush.,0.6890422105789185
on your high horse,I thought I 'd end up feeling frustrated by you staying on your moralistic high horse without ever offering any concrete political proposals .,喧嘩 を 売る,喧嘩を売る気か,"We gonna fight, Raymond?",0.6889715790748596
keep your pecker up,‘ Try and keep your peckers up!’,鳥肌 が 立つ,鳥肌が立ってます。,I've got goosebumps.,0.6889117360115051
make your blood boil,honest to god it makes your blood boil,"手 に なる,血 を みる",血を見たいのか 相手になるぜ,"You want blood, I get it.",0.6883854269981384
rest on your laurels,"And if I were you , I would n't bother resting on your very dusty laurels . '",高嶺 の 花,あきらめろ　高嶺の花だ,That woman is out of your league. She's just too classy for you.,0.6882509589195251
put your heads together,He will be less easy to understand if you literally put your heads together .,頭 を 丸める,ただ頭を丸めただけだろ?,"The hell did you shave your head for, fool!",0.6873875856399536
jump down someone's throat,"I was about to say , before you jumped down my throat , if your plans need altering in any way.’",首 を 振る,首を振るな,Don't shake your head at me.,0.6872947216033936
shake a leg,"Come on , shake a leg , old son.’",一 杯 食う,一杯食わせやがったな！,You swindled me!,0.6869096755981445
get a rise out of,She riles you and enjoys getting a rise out of you .,押し付ける が ましい,ただのひねくれ者だよ... ...押し付けがましい女さ.,She's just stubborn and she's pushy beyond belief.,0.6867004632949829
on your high horse,I thought I 'd end up feeling frustrated by you staying on your moralistic high horse without ever offering any concrete political proposals .,気 を 使う,気を使うな,Don't mind me.,0.6862956285476685
stroke of luck,"By a stroke of luck , an article that is an embarrassment on the home market is like gold on another .",不 幸中 の 幸い,あの高さじゃ不幸中の幸いだった,"Not bad, considering the height.",0.6861394643783569
get on someone's wick,"Ultimately , it just gets on your wick .",気 を 引く,ホントにあなたの気を 引いちゃったのね,"I really got to you, didn't I, Walter?",0.686075747013092
blow your top,"If you blow your top , they 'll nick you double quick.’",声 を 落とす,- 声を落とせ,- Keep your voice down.,0.6854994297027588
get your hands dirty,"Armed with the Steamatic , there 's no need to get your hands dirty and the job is done in half the time .",何 は さておく,何はさておき,"Above all else,",0.6852623224258423
over your head,"Talk over your head Joanne , you usually do !",頭 を 下ろす,ゆっくり頭を下ろして,I want you to lay down nice and gently. Nice and gently.,0.684828519821167
